YEAR,MONTH,PROV_ID,PROV_T,MinRain,MaxRain,AvgRain
2018,5,83,ภูเก็ต,240.6600037,331.9500122,286.305008
2018,5,84,สุราษฎร์ธานี,122.25,368.3599854,245.3049927
2018,5,85,ระนอง,140.1399994,470.9100037,305.5250016
2018,5,86,ชุมพร,82.5,446.480011,264.4900055
2018,5,90,สงขลา,135.4799957,249.8800049,192.6800003
2018,5,91,สตูล,211.2100067,310.2099915,260.7099991
2018,5,92,ตรัง,209.3200073,264.7900085,237.0550079
2018,5,93,พัทลุง,134.7299957,237.5,186.1149979
2018,5,94,ปัตตานี,70.02999878,220.1900024,145.1100006
2018,5,95,ยะลา,57.61000061,182.1499939,119.8799973
2018,5,96,นราธิวาส,109.3600006,247.8899994,178.625
2018,6,10,กรุงเทพมหานคร,92.16999817,171.7899933,131.9799957
2018,6,11,สมุทรปราการ,91.16000366,166.7700043,128.965004
2018,6,12,นนทบุรี,77.80000305,135.1699982,106.4850006
2018,6,13,ปทุมธานี,77.12000275,116.1399994,96.63000108
2018,6,14,พระนครศรีอยุธยา,68.19999695,107.2799988,87.73999788
2018,6,15,อ่างทอง,67.52999878,102.7900009,85.15999984
2018,6,16,ลพบุรี,78.80000305,151.3899994,115.0950012
2018,6,17,สิงห์บุรี,87.55000305,132.5299988,110.0400009
2018,6,18,ชัยนาท,106.3799973,141.7899933,124.0849953
2018,6,19,สระบุรี,82.93000031,140.9199982,111.9249993
2018,6,20,ชลบุรี,64.13999939,194.4100037,129.2750015
2018,6,21,ระยอง,68.06999969,374.1600037,221.1150017
2018,6,22,จันทบุรี,194.4600067,536.2000122,365.3300095
2018,6,23,ตราด,476.5599976,708,592.2799988
2018,6,24,ฉะเชิงเทรา,92.68000031,264.7900085,178.7350044
2018,6,25,ปราจีนบุรี,139.5599976,208.1799927,173.8699952
2018,6,26,นครนายก,108.5599976,199.2299957,153.8949967
2018,6,27,สระแก้ว,108.7900009,276.0400085,192.4150047
2018,6,30,นครราชสีมา,74.33999634,169.1499939,121.7449951
2018,6,31,บุรีรัมย์,47.84000015,141.2899933,94.56499673
2018,6,32,สุรินทร์,59.99000168,171.7200012,115.8550014
2018,6,33,ศรีสะเกษ,96.11000061,277.6300049,186.8700028
2018,6,34,อุบลราชธานี,153.8399963,352.7900085,253.3150024
2018,6,35,ยโสธร,141.8999939,267.3800049,204.6399994
2018,6,36,ชัยภูมิ,94.20999908,177.5200043,135.8650017
2018,6,37,อำนาจเจริญ,202.5599976,303.7200012,253.1399994
2018,6,38,บึงกาฬ,240.8899994,324.4400024,282.6650009
2018,6,39,หนองบัวลำภู,145.9400024,204.7200012,175.3300018
2018,6,40,ขอนแก่น,112.7699966,220.6300049,166.7000008
2018,6,41,อุดรธานี,153,315.2799988,234.1399994
2018,6,42,เลย,135.0500031,190.9900055,163.0200043
2018,6,43,หนองคาย,187.1499939,270.3900146,228.7700043
